Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
37,66891,8816,718,103,3,1,1,personal,0,1
58,43186,8685,636,296,1,0,0,car,0,0
27,49700,821,718,320,1,0,0,personal,0,0
33,32648,11650,421,341,3,0,1,car,1,1
60,27008,13099,731,151,5,0,1,personal,0,0
62,71680,4554,343,157,3,1,1,education,0,1
29,22638,9220,616,206,9,1,1,personal,1,1
47,84929,10189,680,474,8,0,1,education,0,0
22,60877,12922,444,179,3,0,1,personal,1,0
25,60199,10019,626,197,9,0,1,personal,0,0
49,58632,1868,662,223,6,1,0,home,1,0
57,46209,7350,349,89,7,0,0,home,0,1
58,55881,11123,364,287,4,0,1,car,0,1
39,47166,14207,654,434,4,0,0,home,1,0
28,58296,6911,463,276,2,1,0,personal,0,1
21,49494,20938,440,236,5,0,1,home,1,1
42,35744,527,427,183,8,1,0,personal,0,0
37,36941,7181,697,209,7,0,1,education,1,0
27,35235,9584,762,130,7,0,0,personal,0,0
45,64563,8996,486,153,6,0,1,car,0,0
24,40738,3839,489,13,3,1,0,education,0,0
56,21318,12239,687,122,5,0,0,car,1,1
26,55952,11855,728,359,1,0,0,car,1,0
51,72717,10239,583,220,7,1,1,car,1,0
39,61596,11659,536,106,9,1,0,home,1,1
64,40950,7881,493,375,1,1,0,car,1,1
59,26197,1913,586,70,2,0,1,education,0,1
47,47985,6416,435,195,3,1,1,personal,0,1
30,47611,10785,470,186,3,0,0,car,0,0
46,35462,10813,458,99,8,1,0,education,0,1
39,58265,10206,500,82,7,1,0,car,0,1
59,77699,12743,786,75,6,1,0,personal,1,0
23,53334,7094,803,374,4,0,1,education,0,0
33,52407,10133,670,340,9,0,0,education,1,0
48,35941,12860,402,192,1,0,0,personal,0,1
40,70961,9575,424,325,2,0,1,education,1,1
48,48872,3783,612,467,4,0,0,personal,1,0
28,41315,5192,757,214,3,0,0,education,1,0
61,50955,14154,529,315,1,0,0,education,0,0
59,57079,16962,496,444,5,0,1,personal,0,0
21,52088,15876,722,467,7,0,1,personal,0,0
23,68092,11160,470,382,2,1,0,education,0,0
33,55759,3984,681,367,5,1,0,education,1,0
48,45740,9968,472,318,6,0,1,personal,1,0
45,56017,17811,752,144,7,0,0,home,1,0
53,57494,13092,649,384,1,0,0,personal,1,0
58,30554,8962,793,216,7,0,1,education,0,0
26,67241,13143,303,361,4,1,1,education,1,1
64,45486,3653,392,324,8,1,1,education,0,1
52,45870,6521,305,15,4,0,0,personal,1,1
41,61270,4579,587,217,6,1,0,education,1,0
36,61207,12347,445,439,9,1,0,home,1,0
41,39487,13570,723,35,5,0,0,car,0,1
31,62043,9230,756,183,4,0,1,home,0,0
57,41593,5635,501,270,8,0,0,personal,1,1
56,77293,9901,511,433,9,0,0,education,1,0
55,37577,7567,305,467,4,1,1,personal,1,1
39,53592,6019,675,358,3,0,1,car,0,0
40,38269,11694,746,100,8,1,0,personal,0,0
38,83340,6210,405,7,5,0,1,education,0,1
61,31432,2168,700,30,2,1,1,car,1,0
34,57865,3279,395,467,9,0,0,car,0,0
35,38976,1983,687,305,3,0,0,education,1,0
51,44688,11237,751,473,2,1,0,education,0,0
21,56803,10752,715,144,1,1,0,education,1,1
23,68368,10502,803,111,8,1,1,personal,1,1
36,74350,12938,753,232,3,0,1,home,0,0
43,26945,15959,590,179,7,1,0,personal,1,1
31,54016,7038,833,72,1,1,0,personal,1,0
32,71892,12032,492,210,1,1,1,home,1,1
30,24720,2101,449,220,9,1,0,education,0,1
52,54715,16893,814,80,8,1,0,education,1,0
36,49968,3775,692,83,3,1,0,home,0,0
28,56218,6449,615,42,6,1,0,home,0,0
58,38415,7011,375,273,3,1,1,personal,1,1
32,28465,2368,569,191,4,1,0,car,0,1
44,21303,10162,524,173,1,0,1,home,1,1
48,64645,11069,829,461,5,0,0,personal,0,0
28,66560,9052,412,7,1,1,0,car,1,1
48,54540,2298,550,155,1,0,1,education,0,0
56,41987,19916,532,10,7,0,0,education,1,1
46,25654,12746,382,34,6,1,1,personal,1,1
28,58450,23171,424,36,2,1,0,personal,1,1
48,33488,5974,474,409,2,1,0,home,1,0
48,39330,14789,368,6,7,1,0,education,0,1
57,41201,13896,346,408,1,1,0,personal,0,1
61,47036,8547,555,402,2,1,0,education,1,0
56,38614,17055,329,215,8,0,1,education,0,1
47,50501,7972,580,134,6,1,1,home,1,0
37,40672,8195,536,285,2,0,0,car,1,0
29,60520,-7357,547,126,7,1,0,home,0,0
53,65465,12045,667,409,4,1,1,personal,0,1
40,51628,3372,794,439,2,0,1,home,1,0
33,56939,7246,324,337,6,1,0,home,0,1
48,81767,4868,789,174,9,1,0,education,1,0
49,32410,8168,793,152,9,0,1,home,0,0
33,31497,12219,613,331,8,1,0,personal,0,1
55,60424,10055,674,26,3,0,1,car,0,0
26,79198,13548,324,383,3,1,0,home,0,1
38,46092,16328,633,115,2,1,1,home,0,1
25,75902,8156,654,382,5,0,1,car,1,0
45,51446,7607,415,284,4,1,0,personal,0,1
22,39786,14788,347,387,7,0,1,personal,0,1
30,35139,15185,398,75,4,0,0,home,1,1
50,59441,13702,758,166,9,0,0,education,1,0
25,36275,5239,822,189,2,1,0,home,1,0
53,51219,12113,704,78,6,1,0,car,0,0
21,73751,10547,513,435,7,0,1,car,0,0
38,45398,15262,802,90,4,1,0,car,1,0
52,69710,7135,747,176,6,1,0,home,1,0
31,31781,1666,557,21,7,1,0,home,1,1
41,41991,13451,420,54,4,0,0,personal,1,1
46,28892,-2791,353,184,8,1,1,education,0,1
45,51094,6342,630,359,9,0,0,home,0,0
42,61701,4884,540,222,1,1,1,personal,0,1
47,51127,4850,829,315,7,1,1,home,0,0
33,68405,6254,782,328,9,0,1,personal,0,0
53,38762,16086,486,179,5,1,0,personal,1,1
54,53380,14102,561,276,2,0,0,education,0,0
61,42087,8741,663,112,6,1,0,home,1,1
55,55425,15668,790,224,7,0,0,personal,1,0
21,57556,4688,730,214,2,1,1,car,1,0
41,58735,4008,538,59,2,1,1,car,0,1
26,33941,14317,603,327,1,1,0,car,1,1
48,36653,12898,597,393,4,0,0,education,0,0
37,39435,7698,375,109,7,0,0,personal,1,1
25,46416,4322,632,385,9,0,0,education,0,0
51,51307,17298,773,157,3,1,0,home,1,0
25,60621,1399,582,191,7,0,0,home,0,0
58,37278,7007,371,200,7,0,0,personal,1,1
23,25984,11142,562,312,7,0,1,car,1,1
43,82336,19010,311,196,2,0,1,personal,1,1
57,33028,11915,440,35,6,0,1,personal,1,1
57,62544,12401,316,379,2,0,1,personal,0,0
30,50469,7153,362,387,6,0,0,education,0,1
30,53769,12842,552,246,3,0,0,home,0,0
39,49976,10526,764,237,2,0,0,personal,1,0
37,44227,2057,675,104,6,0,0,personal,1,0
41,56959,13964,819,7,2,1,0,personal,1,0
34,43421,14851,389,283,5,1,1,education,1,1
29,67494,14016,474,1,2,0,0,education,1,0
21,58526,10166,375,219,3,1,1,education,1,1
33,58993,5219,699,464,3,1,0,personal,0,0
24,42393,-1545,370,230,6,0,1,car,0,1
21,46454,10785,479,455,6,0,0,car,0,1
60,32181,15409,423,172,3,0,1,car,0,1
52,44704,14977,680,87,3,1,0,home,0,1
54,34451,14080,592,41,1,0,0,personal,0,1
48,69696,9628,494,123,7,1,0,car,0,0
51,50758,15437,527,331,8,0,0,car,0,0
28,52557,14620,730,298,2,1,1,car,1,1
59,46622,7886,735,373,4,1,0,personal,1,0
46,52963,13382,760,417,7,0,1,car,1,0
54,86973,7320,320,178,8,0,0,car,1,0
23,45497,12700,363,63,1,1,1,personal,1,1
32,40243,3504,464,165,4,1,0,home,1,0
21,57945,3888,326,187,6,0,0,education,1,0
64,12114,15291,610,383,3,0,1,car,0,1
25,50959,14687,584,209,5,1,0,education,0,1
50,44424,13168,580,227,9,0,0,home,1,1
50,35115,10439,463,432,3,1,1,home,0,1
37,57616,-1956,523,389,5,0,0,car,0,0
43,50809,9625,445,48,8,0,1,personal,0,1
35,22963,12270,329,224,6,0,0,home,0,1
57,40302,7326,344,3,4,1,1,education,0,1
41,6675,6437,770,372,8,0,1,education,1,1
34,54399,17222,333,175,3,1,1,education,0,1
22,54249,9698,726,446,3,0,1,education,1,0
31,38100,12273,520,99,4,1,0,home,1,0
59,58101,13870,833,116,9,1,0,car,1,0
58,30762,4992,666,270,5,0,1,car,0,0
54,35502,10966,849,447,8,1,0,education,1,0
58,56257,16598,415,368,6,1,0,car,1,1
54,39669,19096,538,253,3,1,0,education,1,0
38,49060,10199,634,317,8,1,1,education,1,0
50,41545,8810,740,415,9,0,0,personal,0,0
35,43836,11345,447,95,8,0,0,home,1,1
47,44491,11218,308,273,4,0,1,home,1,1
54,39398,16933,587,380,6,1,0,education,1,0
58,54536,5018,687,24,1,1,1,home,1,0
53,40581,8600,349,116,4,0,1,car,0,1
44,50235,4414,816,151,8,0,1,education,1,0
35,39069,4939,577,338,1,1,0,personal,1,1
50,26985,11882,599,50,3,0,0,car,1,1
62,63686,14049,434,206,1,0,1,personal,1,1
37,57492,6753,446,335,9,1,1,personal,1,1
25,84330,13860,789,79,2,0,1,home,1,0
49,34340,15557,777,70,9,1,1,home,0,1
24,46865,19673,458,27,4,0,1,education,1,1
30,48072,10348,683,271,2,1,1,home,0,0
37,64840,6801,462,50,4,1,0,personal,0,0
30,42393,4987,740,292,6,1,1,personal,1,0
37,32434,4491,488,247,7,1,1,car,0,1
40,68117,16248,714,264,3,1,1,personal,1,0
44,45250,2424,638,79,3,0,0,education,0,0
25,63179,16088,480,387,8,0,0,education,1,0
54,61432,5657,587,190,5,0,0,home,0,1
26,49551,6573,486,47,4,1,0,home,0,1
22,47385,9242,437,461,7,0,1,home,1,1
33,44126,6481,429,361,7,1,0,education,0,0
63,49772,14659,493,354,9,1,1,personal,0,1
63,62946,19066,615,472,9,0,1,home,0,0
31,38053,6712,443,352,5,1,1,car,0,1
43,51632,7838,315,189,8,0,1,home,0,1
36,33220,9183,601,416,1,1,1,education,1,1
51,35088,12705,722,256,9,1,1,home,0,1
31,49535,9232,544,222,8,0,0,personal,0,0
36,20597,16936,406,372,6,1,0,home,1,1
28,80908,15733,387,241,3,0,0,education,1,0
24,32104,4072,428,269,3,1,0,education,1,1
60,49398,12604,640,1,8,0,0,car,0,0
24,67523,17601,303,34,5,1,1,education,0,1
45,37056,7526,626,446,7,0,0,car,0,0
23,15459,8528,709,79,5,0,0,personal,0,0
52,43325,7359,605,236,8,1,0,education,1,1
23,36877,7464,524,334,4,0,1,home,1,1
47,15854,1657,647,377,2,1,1,personal,0,1
49,54273,3358,620,349,3,1,1,home,0,0
52,53106,10387,480,98,8,0,0,home,0,1
39,67134,17567,685,82,7,0,0,home,0,0
41,33187,6933,407,455,2,0,0,personal,1,0
25,26012,6786,830,477,6,0,0,personal,1,0
38,43899,18507,709,415,9,0,0,education,0,0
48,48674,4458,595,192,4,1,1,home,1,0
62,63820,1693,470,253,9,0,0,car,0,0
42,71158,5857,630,409,2,1,1,education,0,0
41,68217,6686,792,38,2,0,0,personal,1,0
26,54148,1262,494,14,9,0,1,car,0,1
21,61992,9359,311,392,7,0,1,personal,1,0
25,40392,14742,494,347,7,1,1,car,0,1
61,52525,3570,789,310,1,0,1,education,1,0
32,32130,10437,481,386,6,1,0,car,0,1
46,50940,11979,615,209,7,1,0,education,1,1
54,51329,9583,329,357,6,1,0,personal,0,1
34,75831,10928,395,462,6,0,1,car,0,0
46,46565,10986,680,89,2,1,0,home,1,0
47,51350,5936,743,56,6,0,0,home,0,0
29,53554,17492,597,94,4,1,0,personal,1,0
46,43177,16238,660,93,9,0,0,car,1,1
42,37962,15949,673,340,1,1,1,home,0,1
50,69482,15068,602,85,8,0,1,education,0,0
63,35286,2125,720,445,5,0,0,car,0,0
37,30081,14630,545,245,1,0,0,car,0,1
46,60203,13278,536,22,4,1,0,home,1,1
56,67367,2317,833,291,1,1,1,education,0,0
21,43228,8925,484,272,6,0,1,education,0,0
28,43459,11383,767,306,2,1,1,education,0,0
55,54238,18321,662,122,5,1,0,car,1,0
35,39382,13623,582,128,7,1,1,personal,0,1
42,38274,5677,635,113,2,1,1,car,1,0
34,63193,18476,461,427,6,1,1,car,0,1
46,59106,10218,459,273,6,1,1,home,1,1
48,69667,8720,773,336,5,1,1,personal,0,0
43,31211,8364,621,442,5,0,0,education,0,1
34,42463,1882,311,130,3,0,0,home,1,1
44,54217,9451,723,132,2,1,0,car,0,0
22,36115,12487,372,85,7,0,0,personal,0,0
46,59625,8073,500,423,1,0,1,education,0,0
34,68369,12102,821,350,6,0,0,education,1,0
27,41249,5678,804,390,6,1,0,car,0,0
23,50578,9295,338,81,3,1,0,education,1,1
43,71834,11582,359,473,2,1,1,education,1,1
63,76989,10948,620,325,2,1,0,personal,1,0
38,61187,1972,734,69,9,1,1,home,0,0
58,58901,7804,707,148,5,0,1,personal,1,0
55,37193,18387,685,448,7,1,1,home,1,1
35,55388,7537,377,16,5,0,0,home,0,1
45,58352,10079,493,307,7,1,1,home,1,0
57,46844,9566,584,105,4,0,0,education,1,0
48,41078,17841,826,165,8,1,0,personal,0,0
30,30780,16451,823,201,7,1,0,education,0,1
59,23934,14037,455,197,5,1,1,car,1,1
37,20781,5133,639,426,6,1,1,personal,0,1
59,58691,11795,424,185,5,1,0,home,0,1
42,52215,12839,579,322,7,1,1,education,0,1
46,42742,6506,427,265,2,0,1,education,1,1
64,45028,5647,613,363,5,1,1,personal,1,0
45,53157,18525,631,100,3,0,0,personal,0,0
37,47531,8495,449,342,9,1,1,home,1,1
33,29891,18074,753,320,6,0,1,home,0,1
40,63695,14985,335,214,3,0,0,car,0,0
45,54561,12039,719,278,7,0,1,home,0,0
24,53988,12262,321,162,4,0,0,education,0,1
30,62563,2997,505,439,3,0,1,car,0,0
23,37795,11033,655,157,8,0,1,car,1,0
61,68205,17085,739,422,4,1,1,car,1,0
38,47899,13406,395,251,1,0,1,personal,1,1
56,63328,10771,463,366,6,1,1,home,1,1
42,61016,18559,447,97,1,1,1,car,0,1
54,34417,9074,829,18,5,0,0,personal,0,0
28,57543,6902,593,327,7,0,1,personal,1,1
60,54894,10769,494,449,6,1,1,car,1,1
64,50454,13832,779,383,2,0,1,car,0,0
39,48584,1411,422,97,4,0,0,education,0,0
62,48711,11424,699,1,2,0,0,car,0,0
61,62190,14051,751,216,1,0,0,education,1,0
57,58668,8651,403,132,3,0,1,car,0,1
26,50457,15534,761,260,3,0,1,car,0,0
46,27620,13205,695,125,7,0,0,home,1,1
54,57416,20706,636,82,1,1,0,car,1,0
26,60854,6246,441,283,9,0,0,car,1,0
57,84506,14153,616,171,6,1,1,education,0,0
53,66131,4913,826,59,4,1,0,education,0,0
42,21512,1923,700,32,3,1,1,home,1,1
41,51176,-177,609,161,3,1,1,car,0,1
26,77170,12691,794,284,2,0,1,car,0,0
26,59353,10921,408,106,2,1,0,education,0,0
24,54929,7604,671,105,5,1,1,personal,1,1
50,63503,1132,505,439,9,1,0,personal,1,0
31,40664,6548,342,228,2,1,0,personal,0,1
50,57171,10020,544,188,2,1,0,education,0,0
51,46242,13965,586,70,6,0,0,education,0,1
44,49705,9917,654,318,2,0,1,personal,0,0
29,62426,11260,775,464,4,1,1,personal,1,1
23,36099,8119,382,290,6,0,1,car,1,1
51,69319,18746,409,87,5,0,1,education,0,1
60,43657,4908,489,370,1,1,0,education,0,1
57,53909,6503,550,362,6,1,0,personal,1,1
56,28992,7538,590,472,1,1,0,personal,0,0
44,60797,12713,500,56,3,0,0,home,1,0
51,71697,4805,625,113,5,1,1,education,0,0
26,42280,10678,810,13,5,0,0,home,1,0
22,33346,10824,708,440,6,0,1,car,0,0
40,54169,6528,807,18,8,0,0,home,0,0
48,71822,11649,371,182,5,1,0,personal,1,0
31,28252,4960,546,461,1,0,0,education,1,0
24,33405,4414,643,113,5,1,0,education,0,0
35,43187,10498,353,229,3,1,1,home,0,1
26,37694,1701,827,171,4,1,1,home,1,0
50,37742,-724,831,295,8,1,1,car,1,0
58,18588,12664,492,189,7,1,1,car,0,1
22,58835,15244,357,426,5,0,0,personal,0,0
35,55080,7665,736,465,2,0,0,personal,1,0
31,24517,6659,410,79,6,0,1,personal,1,1
28,71857,15027,428,146,6,0,1,home,1,1
46,75216,4272,625,407,6,0,0,home,1,0
64,38736,3183,307,182,9,1,0,education,1,1
25,67498,13538,328,286,8,1,1,personal,0,1
26,41405,10045,411,250,8,0,1,home,0,1
46,52716,15324,430,354,1,0,1,education,1,1
24,37463,-701,487,314,5,0,0,personal,0,0
39,83213,2996,774,196,7,1,1,car,0,0
40,45559,10071,663,323,6,1,1,car,1,1
53,51896,12088,503,71,5,1,1,home,0,1
40,39680,14234,511,248,8,0,1,education,0,1
32,77919,10874,575,146,3,0,1,car,0,0
21,78299,10823,372,106,6,0,0,education,1,1
46,74463,8052,542,263,5,0,1,education,1,0
34,64346,17954,401,296,8,1,0,car,0,1
58,40628,4484,470,70,4,0,1,education,0,1
57,62417,11795,487,470,8,0,1,car,0,0
31,49894,5060,740,193,2,0,1,home,0,0
56,69686,12673,385,68,9,1,0,personal,0,1
33,66738,4814,775,305,9,1,0,personal,0,0
63,40261,13719,351,52,6,0,0,home,1,1
23,64217,10560,410,370,4,1,1,car,0,1
53,60230,18723,342,363,4,1,1,car,0,1
26,8396,8594,510,285,6,1,0,car,1,1
30,62014,12124,499,405,5,1,0,car,0,1
25,43523,6101,325,474,6,1,1,home,0,1
43,36709,8560,598,334,7,0,0,personal,0,0
30,37351,10528,376,9,7,0,1,education,0,1
64,47971,2363,436,251,9,0,0,education,1,0
22,57200,2911,319,431,8,1,0,personal,0,0
33,29518,12999,739,332,6,1,0,home,1,0
60,52847,9269,510,298,6,1,1,education,0,1
22,58651,7035,734,435,5,1,1,personal,0,0
40,77927,6315,506,184,1,0,0,home,1,0
21,33849,6507,738,179,9,0,1,education,0,0
57,44755,10562,341,198,9,0,1,car,1,1
29,53924,12225,710,128,9,0,1,car,1,0
37,67211,-460,822,20,8,0,1,home,1,0
29,45436,17064,726,472,3,0,0,car,0,0
31,67979,16708,574,411,1,1,1,home,0,0
35,20939,-1653,747,422,8,1,1,personal,0,1
44,31199,15429,668,328,7,0,0,personal,0,0
58,55229,15276,519,65,5,1,1,education,1,1
55,28837,10002,531,182,7,0,1,home,0,1
50,32382,3514,627,241,4,0,1,education,0,0
51,42083,15076,742,369,9,1,0,education,1,0
25,61571,8793,351,24,2,0,0,personal,1,0
64,21560,12744,675,384,9,0,1,education,0,0
34,52554,21096,562,431,9,0,1,car,1,1
31,65494,11259,566,455,5,1,0,education,1,0
29,47075,5415,658,83,1,1,0,home,1,1
54,44467,8321,616,470,7,1,0,car,1,0
32,56026,6052,623,319,4,1,1,personal,1,0
55,47118,12167,720,185,9,0,1,home,0,1
55,70857,5969,345,439,6,1,0,car,0,1
21,33328,7635,568,316,3,1,1,home,0,1
60,49225,3577,680,99,6,1,1,car,0,1
42,53085,9339,417,62,6,0,1,home,0,1
49,44323,10883,415,286,5,1,1,home,0,1
28,6930,-3423,559,477,2,1,1,car,0,1
31,47586,11297,374,22,2,0,1,personal,1,1
61,63502,9771,779,459,7,0,1,personal,0,0
57,61671,6175,604,212,2,0,0,home,0,0
34,55321,20143,306,126,6,0,0,home,0,1
50,33532,14792,665,413,5,1,0,personal,1,1
55,55929,4517,822,425,4,0,0,personal,0,0
41,41398,14191,647,42,7,1,0,education,0,1
57,55302,16222,737,98,8,1,0,personal,1,0
25,51822,10660,514,449,4,1,0,home,0,0
39,35354,11807,728,31,1,1,0,car,0,1
34,36613,11691,797,158,1,1,0,personal,1,1
46,55325,-429,839,112,1,0,1,education,0,0
24,46683,9065,666,402,1,1,1,education,1,1
45,37395,8805,612,247,5,1,0,education,0,1
62,36157,17150,837,122,4,1,1,car,0,1
45,45442,11668,353,273,9,0,1,personal,0,1
38,73521,8511,840,294,3,1,0,personal,1,0
60,42108,9549,766,398,7,1,0,personal,1,0
28,49789,15116,463,471,8,0,0,car,1,1
59,51524,9077,633,473,6,1,1,car,0,0
60,33034,6509,846,207,1,1,1,home,0,1
34,23557,8621,647,110,8,0,0,education,1,0
52,34600,14703,572,440,3,1,1,education,1,1
58,53706,12480,713,278,8,1,1,personal,0,0
53,51309,10221,799,451,4,1,1,car,0,0
43,60536,10957,392,56,8,1,0,car,0,1
35,51451,7201,378,375,1,1,1,personal,0,1
53,48356,9030,516,403,3,0,1,personal,1,0
45,40939,6683,657,57,6,0,1,home,0,1
37,63269,8526,806,428,9,0,1,education,0,0
53,36212,16730,480,291,2,1,1,education,0,1
22,33344,4610,545,114,1,1,1,education,0,1
34,58505,6556,543,381,3,1,1,home,0,1
60,30002,3728,805,385,4,0,0,personal,0,0
60,86221,2645,721,308,5,1,0,personal,0,0
